// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 30
W = 50
SIGMA = 1.5
K = 5
A = 0.363636
SD = 1.5
SI = 1.5
SM = 1.5
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=4.5);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=4.5);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
1 early 4545 4545 0 4.9995 4.51957 4.33361 0 0.067082
1 late  3185 3185 0 3.5035 4.64774 4.53565 0 0.06749
2 early 3975 790 0.801258 4.3725 4.35949 4.01639 0.205283 0.136489
2 late  3035 588 0.80626 3.3385 4.48719 4.22393 0.204942 0.136909
3 early 3794 759 1.44491 4.1734 4.45538 3.97011 0.371903 0.201821
3 late  3006 593 1.44844 3.3066 4.55281 4.12032 0.363273 0.20224
4 early 3758 752 1.95849 4.1338 4.58847 4.00785 0.496541 0.268084
4 late  2985 577 1.98124 3.2835 4.66323 4.13415 0.494807 0.268581
5 early 3714 729 2.39607 4.0854 4.7072 4.04049 0.592084 0.33383
5 late  2985 588 2.40335 3.2835 4.79984 4.19858 0.58459 0.334274
6 early 3662 677 2.77417 4.0282 4.79631 4.02008 0.681322 0.399866
6 late  2958 534 2.79953 3.2538 4.86225 4.13694 0.680865 0.400327
7 early 3667 709 3.0649 4.0337 4.94314 4.0622 0.752113 0.467073
7 late  2958 550 3.10041 3.2538 5.00975 4.17336 0.750507 0.467522
8 early 3715 757 3.26487 4.0865 5.10735 4.15259 0.799462 0.536052
8 late  3007 603 3.27702 3.3077 5.1531 4.23605 0.807782 0.536531
9 early 3746 739 3.43326 4.1206 5.25373 4.19495 0.842232 0.607003
9 late  3047 617 3.40171 3.3517 5.31907 4.32812 0.843781 0.607499
10 early 3749 702 3.57749 4.1239 5.30414 4.22131 0.893838 0.681515
10 late  3045 564 3.60493 3.3495 5.36568 4.30186 0.895567 0.682076
11 early 3809 764 3.68128 4.1899 5.49593 4.28662 0.916514 0.759585
11 late  3093 606 3.70934 3.4023 5.51175 4.32176 0.915616 0.760154
12 early 3847 754 3.78633 4.2317 5.54246 4.292 0.935014 0.837304
12 late  3087 597 3.84127 3.3957 5.60469 4.4406 0.943959 0.837849
13 early 3836 749 3.89599 4.2196 5.58143 4.32399 0.962982 0.915837
13 late  3097 599 3.92929 3.4067 5.61456 4.40007 0.973846 0.916417
14 early 3902 805 3.91235 4.2922 5.71505 4.39637 0.958995 0.996146
14 late  3143 628 3.92873 3.4573 5.76058 4.52705 0.968183 0.99673
15 early 3919 776 3.95279 4.3109 5.76862 4.4514 0.981373 1.07902
15 late  3133 627 4.03447 3.4463 5.83402 4.58006 0.989467 1.07965
16 early 3839 706 4.10862 4.2229 5.7599 4.39344 1.01771 1.15868
16 late  3099 562 4.11649 3.4089 5.79485 4.46466 1.01388 1.15926
17 early 3855 756 4.1131 4.2405 5.83973 4.42924 1.00726 1.23925
17 late  3087 602 4.10301 3.3957 5.83674 4.47419 1.01166 1.23989
18 early 3837 750 4.10555 4.2207 5.72462 4.38177 1.01694 1.31903
18 late  3137 591 4.18872 3.4507 5.76577 4.48477 1.0475 1.31965
19 early 3915 778 4.1576 4.3065 5.80483 4.40858 1.03755 1.40055
19 late  3145 611 4.25469 3.4595 5.8557 4.55832 1.062 1.40123
20 early 3919 774 4.21689 4.3109 5.84119 4.46874 1.05435 1.48403
20 late  3131 604 4.28489 3.4441 5.87567 4.54015 1.06484 1.48463
21 early 3865 734 4.28124 4.2515 5.75659 4.42834 1.05692 1.62778
21 late  3087 562 4.33431 3.3957 5.78691 4.46869 1.07094 1.62841
22 early 3881 794 4.24298 4.2691 5.7523 4.38582 1.04741 1.70767
22 late  3138 632 4.2696 3.4518 5.81151 4.51094 1.05386 1.70829
23 early 3880 742 4.26186 4.268 5.80507 4.37145 1.06366 1.78909
23 late  3147 601 4.27677 3.4617 5.84194 4.45852 1.05879 1.7897
24 early 3922 775 4.23406 4.3142 5.85149 4.43824 1.04258 1.87326
24 late  3123 619 4.27794 3.4353 5.89096 4.47643 1.0554 1.87388
25 early 3898 775 4.22858 4.2878 5.86272 4.39329 1.04259 1.95512
25 late  3114 603 4.28805 3.4254 5.89321 4.46198 1.04399 1.9558
26 early 3853 739 4.27381 4.2383 5.81529 4.36064 1.05009 2.04964
26 late  3067 592 4.35311 3.3737 5.79495 4.35941 1.06358 2.05049
27 early 3824 757 4.29341 4.2064 5.70425 4.31521 1.06119 2.14148
27 late  3045 608 4.27586 3.3495 5.72597 4.38054 1.05681 2.14216
28 early 3761 716 4.27147 4.1371 5.58009 4.25315 1.04999 2.2187
28 late  3028 564 4.35601 3.3308 5.58378 4.28112 1.07332 2.21941
29 early 3810 782 4.25669 4.191 5.57216 4.28946 1.05118 2.29674
29 late  3013 622 4.2622 3.3143 5.63292 4.40968 1.07036 2.29736
30 early 3734 721 4.24612 4.1074 5.55145 4.20924 1.05115 2.37258
30 late  3025 581 4.2562 3.3275 5.59532 4.32875 1.06248 2.37317
31 early 3759 734 4.22985 4.1349 5.62835 4.2655 1.06252 2.45058
31 late  2999 562 4.32711 3.2989 5.67826 4.35619 1.0927 2.45134
32 early 3723 724 4.29116 4.0953 5.58274 4.24722 1.07252 2.52898
32 late  3015 573 4.34793 3.3165 5.59835 4.31235 1.0932 2.52961
33 early 3743 728 4.30777 4.1173 5.58973 4.26281 1.08656 2.60559
33 late  3015 588 4.32504 3.3165 5.61221 4.33138 1.08425 2.60621
34 early 3737 722 4.29623 4.1107 5.56205 4.2506 1.07439 2.6816
34 late  3037 603 4.24037 3.3407 5.60011 4.31316 1.07277 2.68221
35 early 3781 744 4.2092 4.1591 5.63316 4.24329 1.06057 2.75862
35 late  3105 602 4.27697 3.4155 5.68444 4.34944 1.08148 2.75926
36 early 3904 799 4.19698 4.2944 5.84914 4.41685 1.06993 2.84201
36 late  3154 647 4.20228 3.4694 5.89633 4.53232 1.07705 2.84287
37 early 3936 782 4.1687 4.3296 5.86567 4.46841 1.0686 2.9282
37 late  3190 631 4.12665 3.509 5.92437 4.56961 1.05987 2.92885
38 early 3960 770 4.1298 4.356 5.95716 4.51898 1.05682 3.01413
38 late  3143 605 4.16481 3.4573 5.97298 4.56823 1.05759 3.01477
39 early 3914 771 4.14742 4.3054 5.86348 4.46923 1.0511 3.09802
39 late  3131 603 4.15905 3.4441 5.92395 4.60042 1.06068 3.09869
40 early 3911 780 4.13015 4.3021 5.98263 4.49427 1.04909 3.18077
40 late  3199 610 4.17412 3.5189 5.99125 4.52078 1.06064 3.18139
41 early 3904 705 4.23975 4.2944 5.88955 4.49537 1.07736 3.2648
41 late  3190 560 4.2768 3.509 5.90656 4.56458 1.09342 3.26546
42 early 3983 793 4.22621 4.3813 6.03919 4.59604 1.07432 3.35011
42 late  3163 631 4.28075 3.4793 6.05132 4.65462 1.09991 3.35076
43 early 3923 760 4.25771 4.3153 5.83078 4.49681 1.08667 3.43303
43 late  3151 605 4.27134 3.4661 5.88453 4.61636 1.09299 3.43365
44 early 3921 770 4.23616 4.3131 5.89749 4.50204 1.07243 3.51519
44 late  3137 599 4.2598 3.4507 5.94503 4.58503 1.07427 3.51585
45 early 3945 808 4.18251 4.3395 5.94442 4.41849 1.04639 3.69783
45 late  3143 643 4.17245 3.4573 5.9613 4.51986 1.03913 3.69852
46 early 3944 801 4.12196 4.3384 5.93491 4.45765 1.01369 3.80047
46 late  3146 624 4.16783 3.4606 5.94583 4.55544 1.02066 3.8022
47 early 3914 768 4.15381 4.3054 5.8359 4.42349 1.01277 3.90996
47 late  3100 607 4.19935 3.41 5.87158 4.51151 1.02387 3.91065
48 early 3840 740 4.1974 4.224 5.74147 4.33831 1.02135 3.99042
48 late  3112 580 4.23201 3.4232 5.77613 4.47053 1.02571 3.99109
49 early 3910 798 4.16419 4.301 5.83482 4.47707 1.03248 4.07115
49 late  3106 629 4.1906 3.4166 5.88503 4.56505 1.0367 4.07179
50 early 3872 766 4.16374 4.2592 5.83326 4.42764 1.0328 4.1512
50 late  3136 605 4.16901 3.4496 5.89356 4.55712 1.05293 4.15186
51 early 3884 748 4.17353 4.2724 5.88786 4.47304 1.05021 4.23661
51 late  3100 573 4.2429 3.41 5.89404 4.50611 1.07 4.23772
52 early 3897 797 4.17064 4.2867 5.84986 4.44667 1.0485 4.32026
52 late  3151 635 4.15963 3.4661 5.8926 4.52661 1.05078 4.32115
53 early 3920 769 4.14745 4.312 5.90409 4.47063 1.0398 4.40362
53 late  3085 606 4.20648 3.3935 5.91467 4.53186 1.05284 4.40453
54 early 3834 749 4.18936 4.2174 5.73666 4.39152 1.04982 4.48151
54 late  3052 585 4.24345 3.3572 5.77667 4.50066 1.06586 4.48241
55 early 3795 743 4.21686 4.1745 5.64249 4.32431 1.06219 4.55847
55 late  3043 584 4.2136 3.3473 5.66728 4.37529 1.06342 4.5594
56 early 3772 729 4.20599 4.1492 5.58594 4.29776 1.06363 4.63551
