// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 1
BURNIN = 10000
W = 50
SIGMA = 0.4
K = 5
A = 0.363636
SD = 0.4
SI = 0.4
SM = 0.4
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=1.2);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=1.2);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
1 early 4545 4545 0 4.9995 4.81592 4.20508 0 0.022984
1 late  3298 3298 0 3.6278 4.7426 4.16751 0 0.023411
2 early 4155 857 0.793742 4.5705 4.75452 3.78068 0.199759 0.044213
2 late  3201 642 0.799438 3.5211 4.73259 3.75129 0.200875 0.044889
3 early 4024 823 1.43141 4.4264 4.86502 3.5623 0.361581 0.066604
3 late  3164 640 1.4371 3.4804 4.83162 3.58985 0.368837 0.067308
4 early 3988 824 1.93355 4.3868 5.09219 3.39688 0.495486 0.092259
4 late  3180 635 1.95597 3.498 5.02901 3.35483 0.502516 0.093053
5 early 3962 782 2.37254 4.3582 5.18875 3.36904 0.602473 0.115544
5 late  3156 602 2.39227 3.4716 5.1534 3.38731 0.609632 0.116593
6 early 3932 776 2.72279 4.3252 5.31474 0 0.698118 0.139062
6 late  3135 611 2.75949 3.4485 5.28658 0 0.701435 0.139596
7 early 3972 837 2.96727 4.3692 5.53146 0 0.742951 0.161676
7 late  3187 668 2.97678 3.5057 5.50611 0 0.740822 0.162242
8 early 3967 780 3.19486 4.3637 5.73062 0 0.79027 0.185672
8 late  3196 627 3.20275 3.5156 5.70124 0 0.79224 0.186275
9 early 3934 738 3.41434 4.3274 5.82429 0 0.849517 0.208316
9 late  3150 580 3.41905 3.465 5.73442 0 0.85619 0.208942
10 early 3919 769 3.55193 4.3109 5.81145 0 0.892575 0.230998
10 late  3117 606 3.62688 3.4287 5.70348 0 0.905037 0.231698
11 early 3874 757 3.72277 4.2614 5.80277 0 0.915075 0.255552
11 late  3151 590 3.78197 3.4661 5.7543 0 0.930816 0.256143
12 early 3976 825 3.78974 4.3736 6.05856 0 0.945171 0.279074
12 late  3181 671 3.81861 3.4991 5.90985 0 0.955674 0.279714
13 early 3971 790 3.85998 4.3681 6.0275 0 0.954671 0.303316
13 late  3160 610 3.93703 3.476 5.88563 0 0.980063 0.303981
14 early 3943 783 3.95663 4.3373 5.9424 0 0.97895 0.329066
14 late  3166 625 3.96652 3.4826 5.84084 0 0.993367 0.329733
15 early 3959 793 3.97171 4.3549 5.93643 0 0.993685 0.356103
15 late  3207 638 4.00904 3.5277 5.84831 0 1.00499 0.356878
16 early 4003 796 4.01299 4.4033 6.01791 0 0.99975 0.38088
16 late  3200 640 4.05719 3.52 5.91312 0 1.01937 0.382287
17 early 3975 775 4.07119 4.3725 5.98892 0 1.02038 0.40682
17 late  3238 610 4.10778 3.5618 5.92303 0 1.02224 0.4075
18 early 4036 798 4.09787 4.4396 6.18092 0 1.01115 0.432044
18 late  3232 605 4.17017 3.5552 6.12968 0 1.04084 0.433439
19 early 4045 813 4.13103 4.4495 6.34548 0 1.02571 0.456777
19 late  3222 639 4.18343 3.5442 6.2205 0 1.04935 0.457474
20 early 3979 757 4.19729 4.3769 6.30534 0 1.04825 0.481737
20 late  3184 596 4.25722 3.5024 6.17986 0 1.06627 0.482901
21 early 3968 784 4.2185 4.3648 6.29467 0 1.06578 0.56233
21 late  3175 611 4.28693 3.4925 6.17708 0 1.07811 0.563819
22 early 3985 810 4.2123 4.3835 6.31286 0 1.06374 0.587774
22 late  3209 651 4.25834 3.5299 6.19683 0 1.06419 0.588458
23 early 4039 830 4.17777 4.4429 6.30729 0 1.02575 0.610942
23 late  3213 649 4.2409 3.5343 6.22121 0 1.04731 0.611796
24 early 4018 805 4.19089 4.4198 6.2983 0 1.03435 0.634691
24 late  3247 635 4.28888 3.5717 6.17481 0 1.07145 0.635399
25 early 4029 782 4.26235 4.4319 6.2792 0 1.07347 0.657676
25 late  3196 590 4.3811 3.5156 6.14963 0 1.09387 0.658424
26 early 4019 823 4.27917 4.4209 6.24521 0 1.07614 0.681043
26 late  3217 654 4.32639 3.5387 6.17131 0 1.09419 0.682225
27 early 3984 767 4.30095 4.3824 6.25215 0 1.07555 0.708823
27 late  3149 619 4.3417 3.4639 6.07399 0 1.09273 0.709561
28 early 3947 798 4.26172 4.3417 6.06946 0 1.07651 0.732046
28 late  3162 638 4.28242 3.4782 5.94912 0 1.08318 0.733481
29 early 3935 773 4.24473 4.3285 6.13007 0 1.06302 0.757821
29 late  3198 609 4.24703 3.5178 6.01084 0 1.05691 0.758539
30 early 4006 808 4.18872 4.4066 6.24008 0 1.04868 0.781076
30 late  3239 643 4.2331 3.5629 6.09454 0 1.06545 0.782353
31 early 4024 785 4.21223 4.4264 6.21078 0 1.05492 0.804938
31 late  3240 619 4.28642 3.564 6.09008 0 1.07346 0.80568
32 early 4043 803 4.23646 4.4473 6.21912 0 1.0559 0.828362
32 late  3259 633 4.31728 3.5849 6.11624 0 1.0761 0.82993
33 early 4103 844 4.2235 4.5133 6.32887 0 1.04923 0.856424
33 late  3244 651 4.20777 3.5684 6.22443 0 1.04285 0.857274
34 early 4037 793 4.18479 4.4407 6.31075 0 1.0322 0.885168
34 late  3178 592 4.24135 3.4958 6.21809 0 1.03304 0.885933
35 early 3940 762 4.22766 4.334 6.22209 3.16835 1.04797 0.91058
35 late  3135 603 4.25869 3.4485 6.0714 2.93327 1.05582 0.91129
36 early 3915 780 4.21098 4.3065 6.18809 0 1.04393 0.935519
36 late  3138 621 4.2833 3.4518 6.00447 0 1.06947 0.936247
37 early 3915 777 4.23474 4.3065 6.08033 2.83139 1.06207 0.959001
37 late  3074 599 4.23715 3.3814 5.98885 2.61809 1.06897 0.95972
38 early 3843 769 4.18918 4.2273 5.98978 0 1.05569 0.983016
38 late  3110 609 4.2537 3.421 5.875 2.56829 1.07331 0.983734
39 early 3837 727 4.25827 4.2207 5.94766 2.61846 1.07037 1.00567
39 late  3070 571 4.36417 3.377 5.77913 2.39572 1.1013 1.00654
40 early 3776 706 4.36123 4.1536 5.7852 0 1.09958 1.03097
40 late  3036 558 4.4002 3.3396 5.67263 0 1.11265 1.03237
41 early 3799 763 4.31561 4.1789 5.87242 0 1.08476 1.05617
41 late  3113 615 4.32798 3.4243 5.80117 0 1.09187 1.05687
42 early 3910 797 4.24194 4.301 6.07847 0 1.05985 1.08095
42 late  3133 635 4.2962 3.4463 5.99838 0 1.07565 1.08249
43 early 3921 788 4.23183 4.3131 6.23079 0 1.05254 1.10548
43 late  3136 614 4.29209 3.4496 6.01668 0 1.06441 1.10622
44 early 3983 847 4.16671 4.3813 6.0696 0 1.02561 1.13082
44 late  3236 691 4.19438 3.5596 5.96609 0 1.02689 1.13212
45 early 4035 799 4.1658 4.4385 6.1475 0 1.01338 1.23682
45 late  3272 630 4.23655 3.5992 6.05699 0 1.04615 1.23753
46 early 4077 805 4.2026 4.4847 6.23782 0 1.04145 1.26006
46 late  3260 625 4.26748 3.586 6.14224 0 1.06411 1.26104
47 early 4079 819 4.20986 4.4869 6.29688 0 1.05492 1.28428
47 late  3247 648 4.24423 3.5717 6.19509 0 1.06529 1.28512
48 early 4023 776 4.23266 4.4253 6.19569 0 1.07631 1.31051
48 late  3193 597 4.29878 3.5123 6.11729 0 1.0902 1.31125
49 early 3977 784 4.25421 4.3747 6.22635 0 1.0704 1.3345
49 late  3201 621 4.24586 3.5211 6.13139 0 1.06717 1.33525
50 early 3988 787 4.21063 4.3868 6.28603 0 1.05893 1.35847
50 late  3231 624 4.26308 3.5541 6.20126 0 1.0749 1.35919
51 early 4064 833 4.1843 4.4704 6.48908 3.10901 1.04675 1.38385
51 late  3281 671 4.30143 3.6091 6.33674 2.87105 1.07162 1.38516
