// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 301
BURNIN = 1
W = 50
SIGMA = 4
K = 5
A = 0.363636
SD = 4
SI = 4
SM = 4
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=12);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=12);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
1 early 4545 4545 0 4.9995 3.8253 3.59746 0 0.199105
1 late  2901 2901 0 3.1911 4.06567 3.91475 0 0.199466
2 early 3538 637 0.819955 3.8918 3.4817 3.19692 0.206897 0.415901
2 late  2632 471 0.821049 2.8952 3.65413 3.43925 0.203267 0.416301
3 early 3196 564 1.49969 3.5156 3.45631 3.14289 0.388924 0.597336
3 late  2494 421 1.51363 2.7434 3.57879 3.32731 0.382919 0.597678
4 early 3049 555 2.05608 3.3539 3.48927 3.14977 0.529354 0.767676
4 late  2448 427 2.09069 2.6928 3.58695 3.30702 0.540441 0.768016
5 early 3012 564 2.51195 3.3132 3.54966 3.17189 0.631142 0.935158
5 late  2419 418 2.56304 2.6609 3.65884 3.34266 0.658537 0.935573
6 early 2966 547 2.90593 3.2626 3.5889 3.19228 0.736008 1.11379
6 late  2454 406 3.00896 2.6994 3.68985 3.34427 0.768134 1.11413
7 early 3020 566 3.25762 3.322 3.77667 3.316 0.82649 1.28765
7 late  2458 417 3.36005 2.7038 3.86898 3.47523 0.862083 1.28801
8 early 2973 515 3.60478 3.2703 3.80636 3.31712 0.929701 1.46052
8 late  2405 396 3.68274 2.6455 3.91171 3.4983 0.948857 1.46089
9 early 3012 607 3.73904 3.3132 3.90281 3.36549 0.947875 1.63701
9 late  2469 452 3.86634 2.7159 3.98754 3.50137 0.976104 1.63741
10 early 2996 527 4.01035 3.2956 3.90072 3.333 1.01368 1.82036
10 late  2478 406 4.11663 2.7258 3.9821 3.46529 1.05044 1.82073
11 early 3013 535 4.2081 3.3143 3.91863 3.34142 1.06505 2.00405
11 late  2489 410 4.33949 2.7379 3.9858 3.4782 1.092 2.00445
12 early 3019 530 4.40212 3.3209 3.91353 3.3581 1.11262 2.193
12 late  2473 405 4.53134 2.7203 4.01402 3.54725 1.15042 2.19339
13 early 3053 580 4.48051 3.3583 3.98555 3.41787 1.14379 2.37714
13 late  2498 425 4.64892 2.7478 4.07136 3.58659 1.19015 2.37756
14 early 3024 526 4.66634 3.3264 3.98488 3.40633 1.17229 2.55952
14 late  2463 394 4.85302 2.7093 4.09345 3.57324 1.21275 2.55996
15 early 3040 577 4.74211 3.344 4.06681 3.47092 1.19276 2.74276
15 late  2486 450 4.87611 2.7346 4.1534 3.64188 1.21963 2.74319
16 early 3009 523 4.85477 3.3099 4.04298 3.45732 1.21402 2.92659
16 late  2456 390 5.00204 2.7016 4.11227 3.58163 1.25285 2.92701
17 early 3016 560 4.8876 3.3176 4.00787 3.42541 1.21585 3.11623
17 late  2496 428 5.01723 2.7456 4.10236 3.58797 1.23478 3.11665
18 early 3029 533 4.9584 3.3319 4.01946 3.44212 1.21426 3.30185
18 late  2512 404 5.13654 2.7632 4.1087 3.60625 1.28105 3.30235
19 early 3097 585 4.9774 3.4067 4.16008 3.55719 1.24669 3.49422
19 late  2540 461 5.14567 2.794 4.23898 3.70706 1.28898 3.49478
20 early 3089 549 5.05342 3.3979 4.15512 3.57109 1.26611 3.68696
20 late  2524 412 5.18819 2.7764 4.22818 3.69974 1.30864 3.68747
21 early 3066 542 5.09426 3.3726 4.11279 3.53475 1.29126 3.92355
21 late  2506 408 5.2909 2.7566 4.2026 3.70448 1.35994 3.92408
22 early 3031 525 5.20125 3.3341 4.02911 3.4972 1.34081 4.10801
22 late  2507 396 5.41205 2.7577 4.12933 3.66428 1.39051 4.10857
23 early 3035 528 5.29654 3.3385 4.06551 3.48793 1.34069 4.29296
23 late  2468 402 5.54295 2.7148 4.15602 3.66598 1.41451 4.29349
24 early 3023 555 5.34171 3.3253 4.11554 3.54231 1.36057 4.4769
24 late  2504 424 5.56589 2.7544 4.19511 3.69493 1.41853 4.47742
25 early 3064 560 5.36586 3.3704 4.16717 3.58993 1.35738 4.67161
25 late  2563 455 5.57238 2.8193 4.25413 3.74677 1.41358 4.67223
26 early 3098 535 5.43738 3.4078 4.26244 3.65264 1.36895 4.87126
26 late  2556 423 5.64163 2.8116 4.33829 3.79564 1.42097 4.87183
27 early 3121 565 5.43928 3.4331 4.30622 3.67167 1.37744 5.0885
27 late  2552 438 5.59835 2.8072 4.37004 3.79108 1.42672 5.08946
28 early 3146 594 5.35251 3.4606 4.21741 3.59486 1.35728 5.30721
28 late  2553 454 5.48688 2.8083 4.30854 3.7705 1.38621 5.30788
29 early 3089 536 5.36128 3.3979 4.21664 3.5997 1.34477 5.50673
29 late  2545 407 5.57682 2.7995 4.27948 3.74072 1.39607 5.5073
30 early 3123 578 5.35959 3.4353 4.22617 3.61968 1.34294 5.70883
30 late  2583 443 5.55749 2.8413 4.28785 3.7313 1.40031 5.70939
31 early 3150 567 5.37714 3.465 4.25755 3.63241 1.35143 5.91512
31 late  2607 445 5.55965 2.8677 4.35696 3.81275 1.40506 5.91577
32 early 3160 553 5.41171 3.476 4.3508 3.69063 1.37025 6.14062
32 late  2569 434 5.58817 2.8259 4.44449 3.84824 1.41378 6.14128
33 early 3113 544 5.43688 3.4243 4.29901 3.65319 1.38002 6.35175
33 late  2555 431 5.50763 2.8105 4.36457 3.78672 1.39413 6.35231
34 early 3127 572 5.31724 3.4397 4.27814 3.65411 1.34026 6.55678
34 late  2590 432 5.51081 2.849 4.36077 3.79816 1.38263 6.55746
35 early 3146 556 5.36014 3.4606 4.32109 3.67222 1.34266 6.76811
35 late  2576 432 5.53183 2.8336 4.38792 3.79726 1.39363 6.76872
36 early 3185 609 5.28289 3.5035 4.33686 3.68517 1.32873 6.97985
36 late  2522 459 5.50476 2.7742 4.43531 3.86418 1.40325 6.98043
37 early 3069 547 5.34539 3.3759 4.18437 3.55541 1.34474 7.18669
37 late  2541 414 5.54191 2.7951 4.24277 3.67416 1.39315 7.1873
38 early 3112 571 5.34158 3.4232 4.15473 3.5437 1.3419 7.39042
38 late  2567 436 5.59057 2.8237 4.24527 3.71223 1.41878 7.39106
39 early 3131 564 5.40339 3.4441 4.17872 3.59517 1.37081 7.59771
39 late  2559 434 5.50606 2.8149 4.27372 3.76738 1.38804 7.5983
40 early 3113 554 5.34822 3.4243 4.12808 3.56066 1.34533 7.80169
40 late  2554 409 5.58731 2.8094 4.21321 3.71667 1.40681 7.80231
41 early 3112 558 5.40617 3.4232 4.08824 3.52526 1.35443 8.00694
41 late  2564 418 5.61154 2.8204 4.1842 3.71752 1.41537 8.00753
42 early 3144 580 5.39186 3.4584 4.19099 3.64194 1.36132 8.21627
42 late  2569 435 5.6738 2.8259 4.31072 3.8378 1.43091 8.21697
43 early 3145 576 5.45151 3.4595 4.2275 3.63255 1.36884 8.43194
43 late  2589 447 5.60718 2.8479 4.30211 3.7969 1.40093 8.43259
44 early 3163 574 5.40816 3.4793 4.30571 3.71499 1.33734 8.65261
44 late  2540 435 5.61142 2.794 4.36545 3.83333 1.3685 8.65321
45 early 3088 548 5.43815 3.3968 4.14762 3.54255 1.34424 8.96937
45 late  2550 411 5.72706 2.805 4.2402 3.74011 1.40863 8.97001
46 early 3146 596 5.45264 3.4606 4.20706 3.59527 1.34584 9.17902
46 late  2543 437 5.73889 2.7973 4.30869 3.78907 1.41486 9.17963
47 early 3100 557 5.52806 3.41 4.18919 3.60202 1.36677 9.39143
47 late  2538 429 5.78408 2.7918 4.25561 3.72745 1.43893 9.39296
48 early 3125 587 5.50976 3.4375 4.18296 3.60963 1.37344 9.63924
48 late  2578 473 5.71528 2.8358 4.24983 3.74999 1.42552 9.64
49 early 3139 561 5.51513 3.4529 4.10977 3.52816 1.37974 9.86186
49 late  2543 397 5.7735 2.7973 4.23464 3.73438 1.43492 9.86259
50 early 3061 518 5.62725 3.3671 4.07519 3.48297 1.39334 10.0796
50 late  2509 385 5.83978 2.7599 4.17765 3.68091 1.444 10.0802
51 early 3005 496 5.71082 3.3055 4.10717 3.52957 1.41298 10.2937
51 late  2508 381 5.88238 2.7588 4.17761 3.66817 1.45973 10.2949
52 early 3072 564 5.61882 3.3792 4.18509 3.61537 1.3916 10.5102
52 late  2547 441 5.883 2.8017 4.25999 3.74715 1.45465 10.5111
53 early 3091 544 5.67163 3.4001 4.19793 3.60934 1.41572 10.7728
53 late  2541 408 5.85163 2.7951 4.29132 3.77544 1.46714 10.7736
54 early 3095 554 5.6252 3.4045 4.18684 3.57325 1.40162 11.07
54 late  2549 428 5.84111 2.8039 4.27222 3.75467 1.46724 11.0709
55 early 3127 578 5.57659 3.4397 4.18553 3.59768 1.39623 11.3115
55 late  2587 439 5.76807 2.8457 4.26377 3.74018 1.44994 11.3123
56 early 3166 579 5.53032 3.4826 4.20232 3.62997 1.3825 11.5415
56 late  2581 437 5.76404 2.8391 4.28813 3.78007 1.44014 11.5425
57 early 3174 593 5.50032 3.4914 4.22127 3.64541 1.35696 11.7603
57 late  2595 446 5.76647 2.8545 4.31219 3.80838 1.42312 11.7612
58 early 3131 536 5.60811 3.4441 4.1316 3.5935 1.38614 11.9763
58 late  2577 404 5.86302 2.8347 4.23206 3.76472 1.44897 11.9772
59 early 3120 543 5.66859 3.432 4.17724 3.60023 1.40417 12.1989
59 late  2555 416 5.96321 2.8105 4.27732 3.76842 1.48376 12.1998
60 early 3101 546 5.73718 3.4111 4.2196 3.59431 1.41857 12.4168
60 late  2545 411 5.88919 2.7995 4.28904 3.72484 1.46169 12.4177
61 early 3165 620 5.53965 3.4815 4.26192 3.63632 1.394 12.6434
61 late  2545 444 5.87544 2.7995 4.36196 3.82726 1.46916 12.6446
