// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 100
W = 50
SIGMA = 1
K = 5
A = 0.363636
SD = 1
SI = 1
SM = 1
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=3);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=3);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
37 late  3193 619 4.13905 3.5123 5.90581 4.37271 1.03696 1.96068
38 early 3985 792 4.11769 4.3835 6.0209 4.39902 1.02535 2.01094
38 late  3153 622 4.12655 3.4683 6.03628 4.39855 1.04091 2.01167
39 early 3910 757 4.13402 4.301 5.94268 4.30899 1.03708 2.06071
39 late  3157 606 4.17928 3.4727 5.96617 4.31738 1.05322 2.06225
40 early 3882 725 4.212 4.2702 5.89191 4.25117 1.05564 2.12247
40 late  3096 581 4.25484 3.4056 5.89571 4.26711 1.06944 2.12323
41 early 3870 774 4.20388 4.257 5.90509 4.2401 1.05504 2.17924
41 late  3133 618 4.2563 3.4463 5.91928 4.28199 1.07054 2.18005
42 early 3903 770 4.21932 4.2933 5.95043 4.26516 1.05047 2.23688
42 late  3109 622 4.19846 3.4199 5.93606 4.27939 1.04471 2.23768
43 early 3903 794 4.14092 4.2933 5.96272 4.28824 1.02741 2.30155
43 late  3133 645 4.14331 3.4463 5.91325 4.25659 1.015 2.30226
44 early 3976 843 4.05282 4.3736 5.98313 4.35616 0.990443 2.35565
44 late  3209 678 4.10346 3.5299 5.99443 4.3848 1.0134 2.35631
45 early 3986 777 4.10863 4.3846 6.07296 4.35905 1.01079 2.47911
45 late  3214 614 4.18264 3.5354 6.07084 4.39269 1.04076 2.47982
46 early 4000 786 4.16425 4.4 6.22716 4.39676 1.04275 2.52959
46 late  3195 623 4.22973 3.5145 6.23766 4.43818 1.04695 2.53024
47 early 3969 774 4.20988 4.3659 6.2879 4.3637 1.04056 2.58069
