// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 1
BURNIN = 10000
W = 50
SIGMA = 0.4
K = 5
A = 0.444444
SD = 0.4
SI = 0.4
SM = 0.4
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=1.2);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=1.2);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
1 early 5555 5555 0 4.9995 4.85727 4.22266 0 0.037341
1 late  3898 3898 0 3.5082 4.75146 4.14101 0 0.037986
2 early 4878 980 0.799098 4.3902 4.48986 3.60215 0.202132 0.068832
2 late  3678 720 0.804241 3.3102 4.47209 3.60882 0.205818 0.069564
3 early 4619 941 1.43667 4.1571 4.57617 3.32799 0.372375 0.096284
3 late  3568 704 1.44731 3.2112 4.57034 3.31793 0.367993 0.097101
4 early 4512 944 1.93528 4.0608 4.77255 3.18544 0.486702 0.115584
4 late  3553 734 1.94681 3.1977 4.76133 3.16481 0.491416 0.11614
5 early 4422 869 2.36771 3.9798 4.88682 0 0.595206 0.134788
5 late  3503 671 2.39281 3.1527 4.80728 0 0.601484 0.135379
6 early 4368 865 2.72092 3.9312 4.90309 2.88503 0.681777 0.153147
6 late  3481 676 2.75036 3.1329 4.86405 2.82367 0.687446 0.153794
7 early 4356 875 2.99702 3.9204 5.0861 2.84918 0.748393 0.172582
7 late  3492 687 3.00745 3.1428 5.01672 2.7105 0.750573 0.173315
8 early 4311 819 3.24611 3.8799 5.14366 0 0.810253 0.191908
8 late  3433 629 3.28372 3.0897 5.06804 0 0.814448 0.192654
9 early 4281 848 3.43518 3.8529 5.21563 0 0.85494 0.211605
9 late  3419 667 3.44106 3.0771 5.16941 0 0.866043 0.212231
10 early 4280 861 3.54766 3.852 5.33016 0 0.874065 0.230294
10 late  3440 677 3.59913 3.096 5.23674 0 0.885174 0.230977
11 early 4320 880 3.66227 3.888 5.46047 0 0.905787 0.250246
11 late  3500 709 3.69229 3.15 5.39191 0 0.912857 0.251004
12 early 4397 897 3.73505 3.9573 5.65528 0 0.917216 0.271303
12 late  3580 707 3.77542 3.222 5.59641 0 0.918436 0.272189
13 early 4527 947 3.77645 4.0743 6.01483 0 0.922907 0.292984
13 late  3629 740 3.83026 3.2661 5.8995 0 0.942408 0.293721
14 early 4503 874 3.89274 4.0527 5.97167 0 0.961581 0.314061
14 late  3598 690 3.95887 3.2382 5.84352 0 0.982212 0.314931
15 early 4457 859 4.00314 4.0113 5.88792 0 0.997083 0.33543
15 late  3582 677 4.0215 3.2238 5.82564 0 1.00726 0.336322
16 early 4466 884 4.02754 4.0194 5.91176 0 1.00022 0.356223
16 late  3548 687 4.0637 3.1932 5.85083 0 0.993236 0.357497
17 early 4444 896 4.04275 3.9996 5.95816 0 0.988299 0.378624
17 late  3521 690 4.09202 3.1689 5.89618 0 0.990344 0.379657
18 early 4354 833 4.11782 3.9186 5.91855 0 0.994028 0.400243
18 late  3481 660 4.1445 3.1329 5.85399 0 1.00488 0.400998
19 early 4378 897 4.09045 3.9402 6.07367 0 0.999086 0.420878
19 late  3518 711 4.12735 3.1662 5.98545 0 1.01535 0.421652
20 early 4357 839 4.14 3.9213 6.06903 0 1.0241 0.44176
20 late  3508 669 4.189 3.1572 5.936 0 1.04475 0.442687
21 early 4372 864 4.16354 3.9348 6.00697 0 1.02996 0.516322
21 late  3545 688 4.21298 3.1905 5.90012 0 1.05049 0.51709
22 early 4443 898 4.15935 3.9987 6.13099 0 1.03939 0.537761
22 late  3594 710 4.20618 3.2346 6.036 0 1.05231 0.538691
23 early 4455 861 4.2 4.0095 6.20168 0 1.05881 0.559129
23 late  3562 688 4.22824 3.2058 6.11081 0 1.09152 0.559919
24 early 4456 894 4.17931 4.0104 6.22042 0 1.06329 0.580099
24 late  3562 700 4.18697 3.2058 6.06262 0 1.05643 0.581427
25 early 4467 905 4.13611 4.0203 6.0711 0 1.03761 0.601336
25 late  3498 672 4.24957 3.1482 5.9438 0 1.07176 0.602299
26 early 4355 857 4.21653 3.9195 5.98847 0 1.05006 0.621823
26 late  3506 687 4.24643 3.1554 5.86959 0 1.06446 0.622806
27 early 4389 883 4.19093 3.9501 6.03632 0 1.05491 0.642756
27 late  3502 681 4.25214 3.1518 5.91439 0 1.06739 0.643524
28 early 4354 852 4.22439 3.9186 5.93241 0 1.05535 0.663747
28 late  3516 669 4.27787 3.1644 5.84898 0 1.06342 0.664553
29 early 4390 874 4.22711 3.951 6.02554 0 1.04533 0.684388
29 late  3510 683 4.28234 3.159 5.88651 0 1.06952 0.68528
30 early 4406 896 4.20813 3.9654 6.03978 0 1.04335 0.705226
30 late  3548 705 4.24944 3.1932 5.96087 0 1.06933 0.706186
31 early 4440 892 4.19482 3.996 6.1878 0 1.05495 0.726376
31 late  3531 713 4.20646 3.1779 6.08381 0 1.06146 0.727336
32 early 4401 870 4.17723 3.9609 6.17844 0 1.0584 0.747448
32 late  3557 673 4.2772 3.2013 6.0964 0 1.08828 0.74837
33 early 4445 888 4.22295 4.0005 6.20397 0 1.07514 0.768951
33 late  3561 704 4.2943 3.2049 6.12698 0 1.07835 0.77029
34 early 4449 888 4.23758 4.0041 6.31086 0 1.06159 0.79137
34 late  3509 682 4.32117 3.1581 6.18526 0 1.07239 0.792441
35 early 4341 832 4.30131 3.9069 6.01581 0 1.0645 0.813648
35 late  3509 655 4.3434 3.1581 5.96511 0 1.06783 0.814638
36 early 4329 820 4.33125 3.8961 6.06755 0 1.0723 0.834826
36 late  3435 651 4.33857 3.0915 5.98437 0 1.08151 0.835629
37 early 4268 833 4.29663 3.8412 5.98342 0 1.07451 0.855026
37 late  3429 648 4.38845 3.0861 5.89575 0 1.10586 0.855997
38 early 4297 868 4.29998 3.8673 6.16211 0 1.07703 0.875397
38 late  3443 664 4.35841 3.0987 6.03983 0 1.08336 0.876286
39 early 4321 878 4.26961 3.8889 6.14743 0 1.05253 0.896354
39 late  3486 707 4.36776 3.1374 6.02882 0 1.07831 0.897301
40 early 4423 937 4.23061 3.9807 6.30214 0 1.03663 0.918168
40 late  3517 749 4.24993 3.1653 6.17393 0 1.0472 0.918976
41 early 4377 860 4.21841 3.9393 6.25281 0 1.03564 0.939895
41 late  3483 677 4.26357 3.1347 6.1409 0 1.0534 0.940728
42 early 4319 836 4.24473 3.8871 6.14543 0 1.04469 0.962034
42 late  3466 681 4.19821 3.1194 6.07591 0 1.02943 0.9628
43 early 4346 880 4.14565 3.9114 6.19696 0 1.04441 0.982815
43 late  3449 677 4.22412 3.1041 6.09364 0 1.06756 0.983613
44 early 4319 870 4.1718 3.8871 6.20844 0 1.04561 1.00375
