// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 301
BURNIN = 1
W = 50
SIGMA = 4
K = 5
A = 0.444444
SD = 4
SI = 4
SM = 4
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=12);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=12);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
1 early 5555 5555 0 4.9995 3.99555 3.7488 0 0.251688
1 late  3479 3479 0 3.1311 4.24063 4.07704 0 0.252157
2 early 4229 750 0.822653 3.8061 3.54663 3.23163 0.209033 0.526129
2 late  3093 554 0.820886 2.7837 3.7035 3.45118 0.206596 0.526551
3 early 3826 733 1.47203 3.4434 3.47153 3.12823 0.36827 0.754413
3 late  2933 530 1.49233 2.6397 3.59574 3.29887 0.379816 0.754817
4 early 3626 693 2.016 3.2634 3.50129 3.10917 0.508825 0.967205
4 late  2887 538 2.03429 2.5983 3.61403 3.27688 0.516107 0.967657
5 early 3533 646 2.47948 3.1797 3.57785 3.118 0.624115 1.17618
5 late  2889 502 2.53444 2.6001 3.6715 3.26304 0.63136 1.17659
6 early 3570 681 2.86022 3.213 3.76602 3.22906 0.720728 1.39478
6 late  2909 521 2.9175 2.6181 3.8682 3.38179 0.731867 1.39521
7 early 3580 671 3.18324 3.222 3.88456 3.26993 0.804749 1.61632
7 late  2856 518 3.22689 2.5704 4.0035 3.43565 0.820728 1.61677
8 early 3525 669 3.42468 3.1725 3.91199 3.24291 0.87461 1.83715
8 late  2859 503 3.51976 2.5731 4.02912 3.407 0.894019 1.83765
9 early 3508 649 3.68358 3.1572 4.01035 3.27684 0.923318 2.0611
9 late  2849 503 3.7708 2.5641 4.11498 3.43183 0.946648 2.06157
10 early 3485 636 3.90014 3.1365 4.08066 3.29315 0.981923 2.28776
