// Initial random seed:
23

// RunInitializeCallbacks():
initializeSLiMModelType(modelType = 'nonWF');
initializeSLiMOptions(dimensionality = 'xy');
initializeTreeSeq();
NUMGENS = 30
BURNIN = 200
W = 50
SIGMA = 1.5
K = 5
A = 0.444444
SD = 1.5
SI = 1.5
SM = 1.5
L = 4
G = 2000000000
FECUN = 0.25
initializeMutationType(1, 0.5, "g", 0, 2);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 1999999999);
initializeMutationRate(0);
initializeRecombinationRate(1e-09);
initializeInteractionType(1, "xy", reciprocal=T, maxDistance=4.5);
initializeInteractionType(2, "xy", reciprocal=T, maxDistance=4.5);

// Starting run at generation <start>:
1 

gen stage pop_size births age density neighbor harm_neigh num_off time
37 early 4159 750 4.23684 3.7431 5.7516 3.8066 1.04112 3.49777
37 late  3379 597 4.23498 3.0411 5.73464 3.84751 1.02249 3.49861
38 early 4201 822 4.21066 3.7809 5.7731 3.86483 1.02476 3.59527
38 late  3345 640 4.28371 3.0105 5.81883 3.93517 1.04604 3.59614
39 early 4161 816 4.24754 3.7449 5.79116 3.80859 1.03845 3.68981
39 late  3380 666 4.24201 3.042 5.82752 3.88549 1.03817 3.69059
40 early 4188 808 4.23066 3.7692 5.72289 3.86051 1.03606 3.78552
40 late  3367 647 4.29047 3.0303 5.78363 3.96355 1.04514 3.78634
41 early 4253 886 4.18834 3.8277 5.93608 3.93426 1.01858 3.88418
41 late  3457 704 4.21898 3.1113 5.89776 3.95324 1.02748 3.88504
42 early 4301 844 4.19484 3.8709 5.89852 3.98126 1.02511 3.98464
42 late  3501 687 4.22765 3.1509 5.89982 3.9656 1.02799 3.98557
43 early 4355 854 4.20253 3.9195 5.97057 4.0304 1.031 4.08833
43 late  3460 669 4.24249 3.114 5.98643 4.05669 1.03468 4.08934
44 early 4294 834 4.22427 3.8646 5.86065 3.97153 1.03633 4.18763
44 late  3420 646 4.29444 3.078 5.8734 4.03425 1.04883 4.18846
45 early 4216 796 4.29483 3.7944 5.77461 3.8821 1.07139 4.36872
45 late  3335 614 4.31784 3.0015 5.81933 3.93873 1.07166 4.36954
46 early 4132 797 4.29211 3.7188 5.77725 3.77168 1.0622 4.46227
46 late  3327 615 4.263 2.9943 5.76592 3.79693 1.05861 4.46305
47 early 4139 812 4.23049 3.7251 5.71459 3.82191 1.05364 4.55488
47 late  3369 658 4.26981 3.0321 5.75303 3.88913 1.05877 4.55566
48 early 4232 863 4.19518 3.8088 5.83735 3.90154 1.0345 4.65216
48 late  3403 666 4.2439 3.0627 5.87744 3.96478 1.04232 4.65304
49 early 4230 827 4.21868 3.807 5.93508 3.91543 1.03002 4.75121
49 late  3375 646 4.24385 3.0375 5.95798 3.93448 1.05422 4.75204
50 early 4222 847 4.19185 3.7998 5.86737 3.91521 1.0469 4.84809
50 late  3365 663 4.1893 3.0285 5.86697 3.96766 1.06835 4.84891
51 early 4184 819 4.17352 3.7656 5.80436 3.9037 1.06142 4.94696
51 late  3383 672 4.17292 3.0447 5.8027 3.93733 1.07242 4.94843
52 early 4208 825 4.15875 3.7872 5.8241 3.89408 1.07581 5.04434
52 late  3338 648 4.24955 3.0042 5.83875 3.93266 1.10785 5.04588
53 early 4199 861 4.17314 3.7791 5.74538 3.82474 1.0774 5.1395
53 late  3374 684 4.19739 3.0366 5.76792 3.91996 1.09247 5.14063
